Gene,adjusted_p,Rank_Stat,Mean_Importance,Rank_RF,Rank_Diff,predicted_importance,EffectSize
FCGR1A,7.80457324044173e-23,1,33.6287889276199,1,0,8.79552397909086,0.515
S100A9,1.61339607004185e-22,2,30.076071515128,2,0,8.79552397909049,0.51
S100A12,7.90603099631668e-22,3,18.3337267596098,6,3,8.79552397908769,0.5
S100A8,4.37056219047638e-21,4,16.3935136456508,8,4,8.79552397907178,0.489
GATA3,7.98727991092764e-21,5,19.0185907635336,4,1,8.79552397905571,-0.485
IL10,3.4241530713039e-20,6,23.9977585061543,3,3,8.79552397893903,0.476
CD177,3.4241530713039e-20,7,18.7717277918725,5,2,8.79552397893903,0.476
MYD88,7.86766841456244e-20,8,13.5645672782694,10,2,8.79552397874156,0.47
TNFSF10,7.86766841456244e-20,9,16.4302547132727,7,2,8.79552397874156,0.47
C3AR1,1.28507568450926e-19,10,13.6393493404261,9,1,8.79552397852011,0.467
BCL2,1.22090894261177e-17,11,4.34281684606226,14,3,8.79552392483339,-0.441
MAPK14,1.28379074751239e-17,12,10.1066142941557,11,1,8.79552392203889,0.44
SOCS3,2.62083730008278e-17,13,4.09914577771459,16,3,8.79552386261986,0.436
